study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,rating,instrument_symptom,primary_instrument,cov_time_point,study_time_point,time_days,time_weeks,primary_timepoint,post_crossover,n_arm1,mean_arm1,sd_arm1,n_arm2,mean_arm2,sd_arm2,n_change_arm1,mean_change_arm1,sd_change_arm1,n_change_arm2,mean_change_arm2,sd_change_arm2,event_arm1,totaln_arm1,event_arm2,totaln_arm2,baseline_m_arm1,baseline_sd_arm1,baseline_n_arm1,baseline_m_arm2,baseline_sd_arm2,baseline_n_arm2,d1,d2,d3,d4,d5,rob,year,drug_arm1,drug_arm2,dose_arm1,dose_arm2,name_arm1,name_arm2,n_dosing_sessions,cumulative_dose_arm1,cumulative_dose_arm2,dose_days,dose_weeks,mean_age,percent_women,diagnosis,target_group,design,blinding,doi,registration_number,full_ref
Goodwin 2022,psil,psil,25 mg,1 mg,change,wsas,self-report,functional impairment,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,79.0,-9.8,12.24394128915923,79.0,-9.3,12.697420596165125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,83,11.86,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,change,wsas,self-report,functional impairment,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,75.0,-8.9,12.592716330539032,79.0,-9.3,12.697420596165125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,83,11.86,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,change,eq-5d-3l,self-report,quality of life,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,0.2,0.2947615495538333,75.0,0.14,0.309294787065871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,20,2.86,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,1 mg,change,eq-5d-3l,self-report,quality of life,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,0.2,0.2947615495538333,79.0,0.14,0.2947615495538333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,20,2.86,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,change,eq-5d-3l,self-report,quality of life,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,75.0,0.14,0.309294787065871,79.0,0.14,0.2947615495538333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,20,2.86,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,change,eq-5d-3l,self-report,quality of life,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,79.0,0.16,0.31743551490412825,75.0,0.18,0.3313872718562903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,83,11.86,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,1 mg,change,eq-5d-3l,self-report,quality of life,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,79.0,0.16,0.31743551490412825,79.0,0.15,0.31743551490412825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,83,11.86,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,change,eq-5d-3l,self-report,quality of life,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,75.0,0.18,0.3313872718562903,79.0,0.15,0.31743551490412825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,83,11.86,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,change,dsst,clinician,cognitive performance,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,6.4,7.482408565597306,75.0,5.4,7.7323696766467735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,20,2.86,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,1 mg,change,dsst,clinician,cognitive performance,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,6.4,7.482408565597306,79.0,4.8,7.482408565597306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,20,2.86,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,change,dsst,clinician,cognitive performance,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,75.0,5.4,7.7323696766467735,79.0,4.8,7.482408565597306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,20,2.86,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,change,panas negative,self-report,negative affect,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,-6.7,7.709148219100256,75.0,-5.1,7.953294524550969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,20,2.86,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,1 mg,change,panas negative,self-report,negative affect,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,-6.7,7.709148219100256,79.0,-3.5,7.935887872603204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,20,2.86,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,change,panas negative,self-report,negative affect,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,75.0,-5.1,7.953294524550969,79.0,-3.5,7.935887872603204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,20,2.86,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,change,eq-vas,self-report,health-related quality of life,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,11.1,22.900705003797817,75.0,8.7,23.859883573652905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,20,2.86,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,1 mg,change,eq-vas,self-report,health-related quality of life,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,79.0,11.1,22.900705003797817,79.0,4.4,23.807663617809613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,20,2.86,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,change,eq-vas,self-report,health-related quality of life,0,Post-first dose 3,Week 3,21,3.0,1,NA,NA,NA,NA,NA,NA,NA,75.0,8.7,23.859883573652905,79.0,4.4,23.807663617809613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,20,2.86,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,change,eq-vas,self-report,health-related quality of life,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,79.0,12.4,22.447225696791918,75.0,8.4,23.859883573652905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,83,11.86,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,1 mg,change,eq-vas,self-report,health-related quality of life,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,79.0,12.4,22.447225696791918,79.0,10.5,24.034403271312563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,83,11.86,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,change,eq-vas,self-report,health-related quality of life,0,Post-first dose 6,Week 12,84,12.0,0,NA,NA,NA,NA,NA,NA,NA,75.0,8.4,23.859883573652905,79.0,10.5,24.034403271312563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,83,11.86,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,response,madrs,clinician,depression,1,Post-first dose 1,Day 2,2,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,79.0,24,75.0,31.9,5.41,79.0,33.0,6.31,75.0,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,1,0.15,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,1 mg,response,madrs,clinician,depression,1,Post-first dose 1,Day 2,2,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,79.0,18,79.0,31.9,5.41,79.0,32.7,6.24,79.0,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,1 mg,25-mg group,1-mg group,1,25.0,1.0,1,0.15,39.4,51.0,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,10 mg,1 mg,response,madrs,clinician,depression,1,Post-first dose 1,Day 2,2,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,75.0,18,79.0,33.0,6.31,75.0,32.7,6.24,79.0,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,10 mg,1 mg,10-mg group,1-mg group,1,10.0,1.0,1,0.15,39.6,50.4,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
Goodwin 2022,psil,psil,25 mg,10 mg,response,madrs,clinician,depression,1,Post-first dose 2,Week 1,7,1.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,79.0,17,75.0,31.9,5.41,79.0,33.0,6.31,75.0,Low,Low,Low,Low,Low,Low,2022,psilocybin,psilocybin,25 mg,10 mg,25-mg group,10-mg group,1,25.0,10.0,6,0.86,40.4,55.5,trd,tr-mdd,parallel,double-blind,10.1056/NEJMoa2206443; https://doi.org/10.1016/j.jad.2023.01.108,NCT03775200,"Goodwin Guy M., Aaronson Scott T., Alvarez Oscar, Arden Peter C., Baker Annie, Bennett James C., Bird Catherine, Blom Renske E., Brennan Christine, Brusch Donna, Burke Lisa, Campbell-Coker Kete, Carhart-Harris Robin, Cattell Joseph, Daniel Aster, DeBattista Charles, Dunlop Boadie W., Eisen Katherine, Feifel David, … Malievskaia Ekaterina. (2022). Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine, 387(18), 1637–1648. https://doi.org/10.1056/NEJMoa2206443"
